playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,12,3,2,3,3,3,5,3,4,2,3,1,1,2,12,15,12,15,2,3,2,3,CarefulAGENT
1,13,1,2,3,1,3,2,1,4,11,1,1,2,2,12,15,12,15,2,3,2,2,RandomAGENT
1,12,1,2,4,1,3,15,1,4,6,1,3,3,2,12,15,12,15,2,2,2,2,GreedyAGENT
3,11,2,4,3,2,1,15,2,2,14,2,3,4,2,15,5,15,0,5,1,1,0,CortaAGENT
1,5,1,2,5,2,3,14,1,4,6,2,4,5,2,12,14,12,15,2,1,1,2,CarefulAGENT
4,11,3,1,11,0,2,4,3,3,15,3,4,6,2,0,0,13,6,0,0,3,2,GreedyAGENT
3,12,2,4,3,0,1,13,0,2,2,2,1,7,2,15,0,0,0,4,0,0,0,CortaAGENT
3,14,3,4,13,3,1,5,0,2,6,3,1,8,2,15,0,0,0,3,0,0,0,CarefulAGENT
3,12,0,4,2,0,1,14,0,2,4,2,4,9,2,15,0,0,0,2,0,0,0,RandomAGENT
2,13,2,3,6,0,4,4,0,1,15,0,1,10,2,4,0,0,0,1,0,0,0,GreedyAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,5,2,2,2,2,3,12,0,4,14,2,4,1,1,15,13,0,14,5,2,0,3,CarefulAGENT
4,3,3,1,13,3,2,3,1,3,14,3,3,2,1,11,11,13,0,2,4,3,0,GreedyAGENT
2,2,0,3,3,0,4,14,0,1,4,0,3,3,1,14,15,0,15,2,3,0,3,CarefulAGENT
4,4,1,1,12,1,2,5,1,3,13,1,4,4,1,11,11,13,0,1,3,3,0,GreedyAGENT
3,2,1,4,14,1,1,11,2,2,6,1,2,5,1,0,0,15,6,0,0,4,2,CortaAGENT
4,2,3,1,4,3,2,4,2,3,11,3,4,6,1,11,11,13,0,1,1,3,0,CarefulAGENT
3,5,0,4,6,0,1,12,2,2,11,0,4,7,1,0,0,15,6,0,0,3,1,RandomAGENT
2,11,1,3,15,0,4,15,1,1,15,2,3,8,1,0,15,0,15,0,1,0,2,GreedyAGENT
4,5,3,1,6,3,2,3,2,3,12,3,4,9,1,0,0,13,0,0,0,2,0,CortaAGENT
3,13,0,4,15,3,1,6,2,2,13,2,1,10,1,0,0,6,0,0,0,1,0,CarefulAGENT
playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,15,0,2,2,0,3,3,0,4,4,0,1,1,1,13,14,13,4,4,1,3,2,CarefulAGENT
1,5,2,2,15,2,3,13,2,4,6,2,2,2,1,13,14,13,4,3,1,3,2,GreedyAGENT
2,6,1,3,14,1,4,15,1,1,13,1,3,3,1,5,15,0,15,1,3,0,4,CortaAGENT
4,6,3,1,5,3,2,11,3,3,3,3,3,4,1,14,2,11,13,2,1,1,3,CarefulAGENT
2,13,3,3,4,3,4,14,3,1,12,2,3,5,1,5,11,0,15,1,2,0,3,GreedyAGENT
